title,overview,release_date,rating,vote_count,review
A Few Good Men,"When cocky military lawyer Lt. Daniel Kaffee and his co-counsel, Lt. Cmdr. JoAnne Galloway, are assigned to a murder case, they uncover a hazing ritual that could implicate high-ranking officials such as shady Col. Nathan Jessep.",1992-12-11,7.5,3871,"“You can’t handle the truth!”
	
RELEASED IN 1992 and directed by Rob Reiner, ""A Few Good Men” is a military drama about a smart-axx young Navy Lawyer (Tom Cruise) who’s never seen a courtroom because he lazily arranges plea bargains. Perhaps this is why he’s assigned to defending two young Marines"
Moulin Rouge!,"A celebration of love and creative inspiration takes place in the infamous, gaudy and glamorous Parisian nightclub, at the cusp of the 20th century. A young poet, who is plunged into the heady world of Moulin Rouge, begins a passionate affair with the club's most notorious and beautiful star.",2001-05-18,7.546,4664,"Moulin Rouge has many things to like about it, but comes off as inconsistent at times.

All of the actors were top notch. I believe it was Nicole Kidman's best performance of her career. Ewan
McGregor usually doesn't add a lot of depth to his characters, but in this movie it was ample. Jim Broadb"
The Ghost and Mrs. Muir,A young British widow rents a seaside cottage and soon becomes haunted by the ghost of its former owner.,1947-05-25,7.5,330,No reviews
Doctor Zhivago,"The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution.",1965-12-22,7.5,1204,"David Lean has assembled an excellent cast and together with Maurice Jarre's memorable score and some sweeping cinematography from Freddie Young does considerable justice to the lengthy Pasternak tale of ""Yuri"" - a Russian physician (Omar Sharif). Alec Guinness, now a General in the Soviet army, tak"
Hotel Mumbai,"Mumbai, India, November 26, 2008. While several terrorists spread hatred and death through the city, others attack the Taj Mahal Palace Hotel. Both hotel staff and guests risk their lives, making unthinkable sacrifices to protect themselves and keep everyone safe while help arrives.",2019-03-14,7.5,1637,"_Hotel Mumbai_.
Hard as I try. Can't figure out why ...You got made? 

_Final rating:★½: - Boring/disappointing. Avoid where possible._"
Italian Race,"Giulia De Martino is a pilot. At seventeen she participates in the GT Championship, under the guidance of her father Mario. But one day everything changes and Giulia has to face alone both the track and her own life.",2016-04-07,7.543,955,"**Winning the race, winning the family.**

The film was loosely based on the true story of some Italian rally racer. I didn't recognise any of the actors or the director, but I really enjoyed watching it. The film was two hours long, but worth giving a try. I anticipated something different, thoug"
Cold Eyes,"Ha Yoon-ju becomes the newest member of a unit within the Korean Police Forces Special Crime Department that specializes in surveillance activities on high-profile criminals. She teams up with Hwang Sang-jun, the veteran leader of the unit, and tries to track down James who is the cold-hearted leader of an armed criminal organization.",2013-07-03,7.5,359,"Silly but serviceable, Cold Eyes offers up a watchable mix of action, thriller and crime drama. This is backed up good cast chemistry and well crafted, if somewhat implausible, characterisations. Definitely worth a look by Western viewers, if you don't mind subtitles or are fortunate enough, to spea"
Malcolm X,"A tribute to the controversial black activist and leader of the struggle for black liberation. He hit bottom during his imprisonment in the '50s, he became a Black Muslim and then a leader in the Nation of Islam. His assassination in 1965 left a legacy of self-determination and racial pride.",1992-11-18,7.543,1771,"I cannot imagine the hoops Spike Lee must have had to jump through to get any form of investment into either the concept or the production of this truly groundbreaking study of a man who divided opinion in a way few others have since the end of the Second World War. I say a study of man, but this is"
Lost Highway,"A tormented jazz musician finds himself lost in an enigmatic story involving murder, surveillance, gangsters, doppelgängers, and an impossible transformation inside a prison cell.",1997-01-15,7.5,2777,"**Lynch's Masterpiece.**

This is my favorite Lynch films, hands down. 

First saw it in a theatre and the film's lighting was so weird and disorienting that at times you weren't sure if there was some weird exterior light source hitting the screen. Uber weird. 

More twist and turns than the "
"Good Bye, Lenin!",Alex Kerner's mother was in a coma while the Berlin wall fell. When she wakes up he must try to keep her from learning what happened (as she was an avid communist supporter) to avoid shocking her which could lead to another heart attack.,2003-02-13,7.5,2497,"Daniel Brühl is on good form here in this entirely far-fetched but enjoyable drama. He and his sister “Ariane” (Maria Simon) live in East Germany with their proud citizen mother (Katrin Sass) who has just been awarded a special medal for her socialist public-mindedness. The thing is, it is 1989 and "
The Hand of God,"In 1980s Naples, Italy, an awkward Italian teen struggling to find his place experiences heartbreak and liberation after he's inadvertently saved from a freak accident by football legend Diego Maradona.",2021-11-24,7.542,1707,"Calling this a ""coming-of-age"" film is like calling Bud Lite a beer. They're not in the same class. I compare this film to my other favorite re-telling of a seminal childhood memory - Joanna Hogg's Souvenir.

The great Austrian poet, Rainer Maria Rilke, once wrote ""For it is not yet the memories t"
Stray Dog,"A bad day gets worse for young detective Murakami when a pickpocket steals his gun on a hot, crowded bus. Desperate to right the wrong, he goes undercover, scavenging Tokyo’s sweltering streets for the stray dog whose desperation has led him to a life of crime. With each step, cop and criminal’s lives become more intertwined and the investigation becomes an examination of Murakami’s own dark side.",1949-10-17,7.5,325,No reviews
Dark Waters,"A tenacious attorney uncovers a dark secret that connects a growing number of unexplained deaths to one of the world's largest corporations. In the process, he risks everything — his future, his family, and his own life — to expose the truth.",2019-11-22,7.5,2343,"After watching 'Dark Waters', you'll simply leave the cinema enraged by the sheer display of economic cruelty from a monolithic, faceless corporation and its evil and very rich henchmen.
- Jake Watt

Read Jake's full article...
https://www.maketheswitch.com.au/article/review-dark-waters-a-fright"
Pandora,"When an earthquake hits a Korean village housing a run-down nuclear power plant, a man risks his life to save the country from imminent disaster.",2016-12-07,7.5,491,No reviews
